trial,RLCT,beta,c,n,chain_size
7,0.558145084456838,0.0175322254038146,0.1,300,4000
7,0.676846028430353,0.0170708673798136,0.1,350,4000
7,0.61801562734426,0.0166904100347667,0.1,400,4000
7,0.580028235319911,0.0163686278294112,0.1,450,4000
7,0.592986077000155,0.0160911192494002,0.1,500,4000
7,0.512168649665294,0.434294481903252,1,10,4000
7,0.680947444725454,0.255622218635331,1,50,4000
7,0.579147147626536,0.217147240951626,1,100,4000
7,0.682595932782884,0.199575491191355,1,150,4000
7,0.789475669971301,0.188739165817755,1,200,4000
7,0.711880845192054,0.181111487498706,1,250,4000
7,0.742570962517649,0.175322254038146,1,300,4000
7,0.753216807400615,0.170708673798136,1,350,4000
7,0.745692667044689,0.166904100347667,1,400,4000
7,0.667590841308025,0.163686278294112,1,450,4000
7,0.734870757127669,0.160911192494003,1,500,4000
7,0.579988067996399,0.868588963806504,2,10,4000
7,0.858742896881555,0.511244437270663,2,50,4000
7,0.698044422583843,0.434294481903252,2,100,4000
7,0.749403993860511,0.39915098238271,2,150,4000
7,0.686497779250128,0.37747833163551,2,200,4000
7,0.806004885739349,0.362222974997411,2,250,4000
7,0.704915523616477,0.350644508076292,2,300,4000
7,0.967487923150047,0.341417347596271,2,350,4000
7,0.756518874419982,0.333808200695334,2,400,4000
7,0.710595722000424,0.327372556588224,2,450,4000
7,0.736721501062979,0.321822384988005,2,500,4000
8,0.112825986732507,0.0434294481903252,0.1,10,4000
8,0.286107705973108,0.0255622218635331,0.1,50,4000
8,0.422476244684556,0.0217147240951626,0.1,100,4000
8,0.489612890587141,0.0199575491191355,0.1,150,4000
8,0.557757802130321,0.0188739165817755,0.1,200,4000
8,0.590432867292318,0.0181111487498706,0.1,250,4000
8,0.626594954449905,0.0175322254038146,0.1,300,4000
8,0.580019499345351,0.0170708673798136,0.1,350,4000
8,0.603173315925248,0.0166904100347667,0.1,400,4000
8,0.62061431824876,0.0163686278294112,0.1,450,4000
8,0.566507003415123,0.0160911192494002,0.1,500,4000
8,0.560966318188309,0.434294481903252,1,10,4000
8,0.830141657242244,0.255622218635331,1,50,4000
8,0.720343253271254,0.217147240951626,1,100,4000
8,0.663334866886398,0.199575491191355,1,150,4000
8,0.684321599345462,0.188739165817755,1,200,4000
8,0.754622600085721,0.181111487498706,1,250,4000
8,0.800321912912698,0.175322254038146,1,300,4000
8,0.798217217737225,0.170708673798136,1,350,4000
8,0.778599225049576,0.166904100347667,1,400,4000
8,0.712566648804238,0.163686278294112,1,450,4000
8,0.710434824409825,0.160911192494003,1,500,4000
8,0.644987744669164,0.868588963806504,2,10,4000
8,0.866933277440917,0.511244437270663,2,50,4000
8,0.622852130998385,0.434294481903252,2,100,4000
8,0.953314103646921,0.39915098238271,2,150,4000
8,0.762192505849841,0.37747833163551,2,200,4000
8,0.837619193933777,0.362222974997411,2,250,4000
8,0.639404283591526,0.350644508076292,2,300,4000
8,0.845314030413622,0.341417347596271,2,350,4000
8,0.681162499155998,0.333808200695334,2,400,4000
8,0.784205487565929,0.327372556588224,2,450,4000
8,0.741960796728353,0.321822384988005,2,500,4000
9,0.106100846449119,0.0434294481903252,0.1,10,4000
9,0.387853108271025,0.0255622218635331,0.1,50,4000
9,0.423231823104327,0.0217147240951626,0.1,100,4000
9,0.512552868002319,0.0199575491191355,0.1,150,4000
9,0.467097799420231,0.0188739165817755,0.1,200,4000
9,0.633269312587229,0.0181111487498706,0.1,250,4000
9,0.560373569438737,0.0175322254038146,0.1,300,4000
9,0.608183501760773,0.0170708673798136,0.1,350,4000
9,0.55583785436361,0.0166904100347667,0.1,400,4000
9,0.68296291940845,0.0163686278294112,0.1,450,4000
9,0.661346782939509,0.0160911192494002,0.1,500,4000
9,0.526697109043538,0.434294481903252,1,10,4000
9,0.761166473817779,0.255622218635331,1,50,4000
9,0.569192132766693,0.217147240951626,1,100,4000
9,0.721494925688067,0.199575491191355,1,150,4000
9,0.722833873119742,0.188739165817755,1,200,4000
9,0.811825987812468,0.181111487498706,1,250,4000
9,0.724938788730584,0.175322254038146,1,300,4000
9,0.805812158038091,0.170708673798136,1,350,4000
9,0.700747874599663,0.166904100347667,1,400,4000
9,0.718227883140922,0.163686278294112,1,450,4000
9,0.672563013084671,0.160911192494003,1,500,4000
9,0.619905106896751,0.868588963806504,2,10,4000
9,0.860699825838177,0.511244437270663,2,50,4000
9,0.808842848325231,0.434294481903252,2,100,4000
9,0.974990876076395,0.39915098238271,2,150,4000
9,0.773763990724661,0.37747833163551,2,200,4000
9,0.868331148399737,0.362222974997411,2,250,4000
9,0.667260598806898,0.350644508076292,2,300,4000
9,0.906326298664236,0.341417347596271,2,350,4000
9,0.859539971770553,0.333808200695334,2,400,4000
9,0.697509734420617,0.327372556588224,2,450,4000
9,0.763577130509934,0.321822384988005,2,500,4000
10,0.119019127123712,0.0434294481903252,0.1,10,4000
10,0.323800029576334,0.0255622218635331,0.1,50,4000
10,0.360938463596522,0.0217147240951626,0.1,100,4000
10,0.536883355494151,0.0199575491191355,0.1,150,4000
10,0.565695609947792,0.0188739165817755,0.1,200,4000
10,0.543248171503987,0.0181111487498706,0.1,250,4000
10,0.570180109106065,0.0175322254038146,0.1,300,4000
10,0.661686343116257,0.0170708673798136,0.1,350,4000
10,0.618927064578271,0.0166904100347667,0.1,400,4000
10,0.630817909433289,0.0163686278294112,0.1,450,4000
10,0.620749842317797,0.0160911192494002,0.1,500,4000
10,0.480975610409745,0.434294481903252,1,10,4000
10,0.825249578973616,0.255622218635331,1,50,4000
10,0.659882347566311,0.217147240951626,1,100,4000
10,0.767551039140377,0.199575491191355,1,150,4000
10,0.633284529596674,0.188739165817755,1,200,4000
10,0.793912075636501,0.181111487498706,1,250,4000
10,0.704907335060902,0.175322254038146,1,300,4000
10,0.861838035939221,0.170708673798136,1,350,4000
10,0.719994207947162,0.166904100347667,1,400,4000
10,0.790992077224746,0.163686278294112,1,450,4000
10,0.772055582181207,0.160911192494003,1,500,4000
10,0.577500889196255,0.868588963806504,2,10,4000
10,0.83263299499793,0.511244437270663,2,50,4000
10,0.67801391891201,0.434294481903252,2,100,4000
10,0.846071326986995,0.39915098238271,2,150,4000
10,0.626349195427718,0.37747833163551,2,200,4000
10,0.861824084444366,0.362222974997411,2,250,4000
10,0.687157123284034,0.350644508076292,2,300,4000
10,0.879670274196085,0.341417347596271,2,350,4000
10,0.739170142242944,0.333808200695334,2,400,4000
10,0.672989887734531,0.327372556588224,2,450,4000
10,0.674685709293016,0.321822384988005,2,500,4000
