dsid,regime,n,trial,nu,wbic,afe0,adjusted_wbic,chains,draws,tune,mean_divergences,total_divergences,max_divergences,divergences_per_chain,chain_tree_depth,n_components
singular2,50,50,1,0.49149417856991223,124.84412391625587,121.65556704447263,124.35262973768596,1,1000,2500,0.0,0,0,[0],8,9
regular,250,250,1,1.6482171188716488,756.061700650699,756.1556111585264,754.4134835318273,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,1,1.1707030527490443,677.7603704955463,678.6391468068656,676.5896674427973,1,1000,2500,0.0,0,0,[0],8,2
singular1,250,250,1,0.5384067358405913,634.3425220786894,633.117485993658,633.8041153428488,1,1000,2500,0.0,0,0,[0],8,2
singular2,250,250,1,0.6271357702909726,551.8904156943395,550.6067075125086,551.2632799240486,1,1000,2500,0.0,0,0,[0],8,2
regular,250,250,1,1.8183805984972519,757.5999535808887,757.535976387992,755.7815729823915,1,1000,2500,0.0,0,0,[0],10,3
e-singular,250,250,1,1.0954955170259455,679.6185775203287,680.0195120363312,678.5230820033028,1,1000,2500,0.0,0,0,[0],9,3
singular1,250,250,1,0.5859003202067369,637.198902766386,634.4978512231235,636.6130024461793,1,1000,2500,0.0,0,0,[0],9,3
singular2,250,250,1,0.5978575242263227,553.7882350883808,551.9870727419741,553.1903775641545,1,1000,2500,0.0,0,0,[0],9,3
regular,250,250,1,1.6383479252320918,758.9138119012096,760.2967068469231,757.2754639759775,1,1000,2500,0.0,0,0,[0],10,5
e-singular,250,250,1,1.017675297919834,683.850347348484,682.7802424952623,682.8326720505642,1,1000,2500,0.0,0,0,[0],9,5
singular1,250,250,1,0.5755998326788203,643.7091928907978,637.2585816820546,643.133593058119,1,1000,2500,0.0,0,0,[0],10,5
singular2,250,250,1,0.6101165825565521,557.8063472894097,554.7478032009052,557.1962307068532,1,1000,2500,0.0,0,0,[0],9,5
regular,250,250,1,1.5500458606335918,760.5181523896292,763.0574373058543,758.9681065289956,1,1000,2500,0.0,0,0,[0],10,7
e-singular,250,250,1,0.961626619646748,687.3877195386366,685.5409729541934,686.4260929189899,1,1000,2500,0.0,0,0,[0],9,7
singular1,250,250,1,0.6081893544734189,649.9358054072619,640.0193121409858,649.3276160527885,1,1000,2500,0.0,0,0,[0],10,7
singular2,250,250,1,0.5800560758173379,562.2267552284839,557.5085336598364,561.6466991526665,1,1000,2500,0.0,0,0,[0],9,7
regular,250,250,1,1.5947438566252856,763.6212800846777,765.8181677647854,762.0265362280524,1,1000,2500,0.0,0,0,[0],10,9
e-singular,250,250,1,0.8888868470446366,691.49928312518,688.3017034131245,690.6103962781353,1,1000,2500,0.0,0,0,[0],9,9
singular1,250,250,1,0.6096042482079048,656.4284358801332,642.7800425999169,655.8188316319253,1,1000,2500,0.0,0,0,[0],10,9
singular2,250,250,1,0.5676929887205536,567.354267753747,560.2692641187675,566.7865747650264,1,1000,2500,0.0,0,0,[0],9,9
regular,5000,5000,1,1.544190940157331,14896.236132484211,14897.995737919706,14894.691941544053,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,1,1.4794603583525774,13497.192455246131,13498.78493430496,13495.71299488778,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,1,0.5984632502014928,12757.557874897255,12756.211754560816,12756.959411647053,1,1000,2500,0.0,0,0,[0],10,2
singular2,5000,5000,1,0.7115206429728888,11076.133720738102,11076.815744003412,11075.422200095129,1,1000,2500,0.0,0,0,[0],10,2
regular,5000,5000,1,1.811280882737569,14897.822526358757,14900.12503621756,14896.01124547602,1,1000,2500,0.0,0,0,[0],10,3
e-singular,5000,5000,1,1.364586243510135,13498.336234364418,13500.914232602814,13496.971648120909,1,1000,2500,0.0,0,0,[0],10,3
