rlct,mean_divergences,total_divergences,max_divergences,divergences_per_chain,chain_tree_depth,name,dsid,regime,k,c,run,chains,draws,tune,duration
1.139616471029934,0.0,0,0,[0],8,toru,regular,250,3,0.1,0,1,2000,4000,56.15993334999996
1.1600003429788546,0.0,0,0,[0],8,toru,e-singular,250,3,0.1,0,1,2000,4000,56.16949259199998
1.3842710296157634,0.0,0,0,[0],9,toru,singular1,250,3,0.1,0,1,2000,4000,57.889084346999994
1.2012270855113767,0.0,0,0,[0],8,toru,regular,250,5,0.1,0,1,2000,4000,75.12322962999997
1.6245545972826934,0.0,0,0,[0],8,toru,e-singular,250,5,0.1,0,1,2000,4000,69.30333026799997
1.8538049175029474,0.0,0,0,[0],9,toru,singular1,250,5,0.1,0,1,2000,4000,73.31749282299995
1.4127930833081601,0.0,0,0,[0],9,toru,regular,250,3,0.5,0,1,2000,4000,56.17022228400003
1.5632687291858196,0.0,0,0,[0],8,toru,e-singular,250,3,0.5,0,1,2000,4000,56.122559946000024
1.6595044919815505,0.0,0,0,[0],9,toru,singular1,250,3,0.5,0,1,2000,4000,56.1744057279999
2.122849821491789,0.0,0,0,[0],9,toru,regular,250,5,0.5,0,1,2000,4000,93.36866259499993
2.2075559911107416,0.0,0,0,[0],9,toru,e-singular,250,5,0.5,0,1,2000,4000,81.674260302
2.8079012562491164,0.0,0,0,[0],9,toru,singular1,250,5,0.5,0,1,2000,4000,84.46762668299993
1.6394616900337498,0.0,0,0,[0],10,toru,regular,250,3,1.0,0,1,2000,4000,63.27454359000001
1.6749165460103426,0.0,0,0,[0],8,toru,e-singular,250,3,1.0,0,1,2000,4000,57.053777668000066
1.5400593133747331,0.0,0,0,[0],9,toru,singular1,250,3,1.0,0,1,2000,4000,58.995589164999956
2.148383167648185,0.0,0,0,[0],10,toru,regular,250,5,1.0,0,1,2000,4000,108.72493115600003
2.2084684203672564,0.0,0,0,[0],9,toru,e-singular,250,5,1.0,0,1,2000,4000,59.54400910200002
2.403768772995793,0.0,0,0,[0],9,toru,singular1,250,5,1.0,0,1,2000,4000,54.812383608999994
1.79836974163069,0.0,0,0,[0],10,toru,regular,250,3,10.0,0,1,2000,4000,49.44987425800002
1.5894928327230806,0.0,0,0,[0],10,toru,e-singular,250,3,10.0,0,1,2000,4000,48.65784426799996
1.1741223741741411,0.0,0,0,[0],10,toru,singular1,250,3,10.0,0,1,2000,4000,44.07036588800008
2.5087415752917535,0.0,0,0,[0],10,toru,regular,250,5,10.0,0,1,2000,4000,96.44267690100003
2.2794873594891296,0.0,0,0,[0],10,toru,e-singular,250,5,10.0,0,1,2000,4000,102.81397744699996
1.7762251832699092,0.0,0,0,[0],10,toru,singular1,250,5,10.0,0,1,2000,4000,68.46115031199997
1.3524620356619772,0.0,0,0,[0],8,toru,regular,500,3,0.1,0,1,2000,4000,56.93789816499998
1.3413088384593639,0.0,0,0,[0],9,toru,e-singular,500,3,0.1,0,1,2000,4000,53.887700300000006
1.7399568955699818,0.0,0,0,[0],9,toru,singular1,500,3,0.1,0,1,2000,4000,67.46805102999997
1.5373476708742182,0.0,0,0,[0],9,toru,regular,500,5,0.1,0,1,2000,4000,105.60285991700005
1.9689103640474603,0.0,0,0,[0],9,toru,e-singular,500,5,0.1,0,1,2000,4000,92.11100334700006
2.066365406439982,0.0,0,0,[0],9,toru,singular1,500,5,0.1,0,1,2000,4000,111.87862598700008
1.8505772091261572,0.0,0,0,[0],10,toru,regular,500,3,0.5,0,1,2000,4000,79.60030141699997
1.4158160399215756,0.0,0,0,[0],8,toru,e-singular,500,3,0.5,0,1,2000,4000,56.00959623799997
1.82598063414954,0.0,0,0,[0],9,toru,singular1,500,3,0.5,0,1,2000,4000,61.00500900299994
2.0371954616571344,0.0,0,0,[0],10,toru,regular,500,5,0.5,0,1,2000,4000,141.232381025
2.296191815268355,0.0,0,0,[0],9,toru,e-singular,500,5,0.5,0,1,2000,4000,99.51885211199999
2.5308735045924893,0.0,0,0,[0],10,toru,singular1,500,5,0.5,0,1,2000,4000,115.25196500300001
1.5004600736420206,0.0,0,0,[0],9,toru,regular,500,3,1.0,0,1,2000,4000,66.62089386499997
1.4602092936429312,0.0,0,0,[0],9,toru,e-singular,500,3,1.0,0,1,2000,4000,63.008307586
