rlct,hypers,mean_divergences,total_divergences,max_divergences,divergences_per_chain,chain_tree_depth,dsid,regime,k,n,trial,chains,draws,tune,name,duration
1.2751193371950311,c=1,0.0,0,0,[0],10,singular2,5000,3,5000,0,1,2000,4000,toru,268.198981216
2.656182319738163,"c=1,d=1",0.0,0,0,"[0, 0]",10,regular,5000,5,5000,0,1,2000,4000,watanabe,1295.7716490969997
2.0015989535753493,c=1,0.0,0,0,[0],10,regular,5000,5,5000,0,1,2000,4000,toru,1360.1347975939998
2.297161961114356,"c=1,d=1",0.0,0,0,"[0, 0]",10,e-singular,5000,5,5000,0,1,2000,4000,watanabe,1127.366586781
2.20581686930747,c=1,0.0,0,0,[0],10,e-singular,5000,5,5000,0,1,2000,4000,toru,970.94598837
3.114923265614656,"c=1,d=1",0.0,0,0,"[0, 0]",10,singular1,5000,5,5000,0,1,2000,4000,watanabe,646.6751128020001
2.127356012919289,c=1,0.0,0,0,[0],10,singular1,5000,5,5000,0,1,2000,4000,toru,547.0124371920001
2.629152882920331,"c=1,d=1",0.0,0,0,"[0, 0]",10,singular2,5000,5,5000,0,1,2000,4000,watanabe,796.4770952449999
1.8897397006810563,c=1,0.0,0,0,[0],10,singular2,5000,5,5000,0,1,2000,4000,toru,555.1067269280002
1.62346592382601,"c=1,d=1",0.0,0,0,"[0, 0]",5,regular,50,2,50,1,1,2000,4000,watanabe,28.07217729500008
1.5299858768591252,c=1,0.0,0,0,[0],5,regular,50,2,50,1,1,2000,4000,toru,13.982390420999764
1.0232840487828367,"c=1,d=1",0.0,0,0,"[0, 0]",8,e-singular,50,2,50,1,1,2000,4000,watanabe,31.91357832199992
0.9452607381892036,c=1,0.0,0,0,[0],7,e-singular,50,2,50,1,1,2000,4000,toru,18.213292299000383
1.05452029526142,"c=1,d=1",0.0,0,0,"[0, 0]",9,singular1,50,2,50,1,1,2000,4000,watanabe,33.80972195300001
1.039041102575616,c=1,0.0,0,0,[0],8,singular1,50,2,50,1,1,2000,4000,toru,18.715388958000403
0.8564208591478351,"c=1,d=1",0.0,0,0,"[0, 0]",8,singular2,50,2,50,1,1,2000,4000,watanabe,31.72366377400067
0.9026945180760764,c=1,0.0,0,0,[0],7,singular2,50,2,50,1,1,2000,4000,toru,17.89729348400033
2.013725493747625,"c=1,d=1",0.0,0,0,"[0, 0]",8,regular,50,3,50,1,1,2000,4000,watanabe,36.085083639
1.7488246373090373,c=1,0.0,0,0,[0],8,regular,50,3,50,1,1,2000,4000,toru,22.612924633000148
1.6959972204577396,"c=1,d=1",0.0,0,0,"[0, 0]",8,e-singular,50,3,50,1,1,2000,4000,watanabe,36.435101295000095
1.5013460429563623,c=1,0.0,0,0,[0],8,e-singular,50,3,50,1,1,2000,4000,toru,22.26269830100045
2.2640882829957545,"c=1,d=1",0.0,0,0,"[0, 0]",9,singular1,50,3,50,1,1,2000,4000,watanabe,39.2519398659997
1.5764880485900383,c=1,0.0,0,0,[0],8,singular1,50,3,50,1,1,2000,4000,toru,22.907568972000263
1.6533545533372145,"c=1,d=1",0.0,0,0,"[0, 0]",8,singular2,50,3,50,1,1,2000,4000,watanabe,35.81936625100025
1.2539309707844783,c=1,0.0,0,0,[0],8,singular2,50,3,50,1,1,2000,4000,toru,21.586879616999795
2.922889219985925,"c=1,d=1",0.0,0,0,"[0, 0]",9,regular,50,5,50,1,1,2000,4000,watanabe,44.31549359600013
1.7791197978655977,c=1,0.0,0,0,[0],9,regular,50,5,50,1,1,2000,4000,toru,30.997875028000635
2.73563507043645,"c=1,d=1",0.0,0,0,"[0, 0]",9,e-singular,50,5,50,1,1,2000,4000,watanabe,40.37373901999945
1.867018798128972,c=1,0.0,0,0,[0],9,e-singular,50,5,50,1,1,2000,4000,toru,28.22486595800001
4.312675057322094,"c=1,d=1",0.0,0,0,"[0, 0]",9,singular1,50,5,50,1,1,2000,4000,watanabe,47.50187231200016
2.649457311772741,c=1,0.0,0,0,[0],9,singular1,50,5,50,1,1,2000,4000,toru,31.64289190799991
3.4200514006662743,"c=1,d=1",0.0,0,0,"[0, 0]",8,singular2,50,5,50,1,1,2000,4000,watanabe,41.045558931000414
1.9913762698377129,c=1,0.0,0,0,[0],8,singular2,50,5,50,1,1,2000,4000,toru,25.054736533000323
1.5280225722172531,"c=1,d=1",0.0,0,0,"[0, 0]",5,regular,250,2,250,1,1,2000,4000,watanabe,30.33682365000004
1.4664720427832183,c=1,0.0,0,0,[0],5,regular,250,2,250,1,1,2000,4000,toru,15.055939369999578
1.743940543568078,"c=1,d=1",0.0,0,0,"[0, 0]",8,e-singular,250,2,250,1,1,2000,4000,watanabe,30.73786937600016
1.4972402758107568,c=1,0.0,0,0,[0],7,e-singular,250,2,250,1,1,2000,4000,toru,15.654657516000045
1.0702481367912664,"c=1,d=1",0.0,0,0,"[0, 0]",9,singular1,250,2,250,1,1,2000,4000,watanabe,38.20579176299998
1.0884531193033713,c=1,0.0,0,0,[0],9,singular1,250,2,250,1,1,2000,4000,toru,19.57563433700033
0.9534673540091926,"c=1,d=1",0.0,0,0,"[0, 0]",8,singular2,250,2,250,1,1,2000,4000,watanabe,36.123240549
0.9866663887233436,c=1,0.0,0,0,[0],8,singular2,250,2,250,1,1,2000,4000,toru,18.332024046000697
1.9132794874253003,"c=1,d=1",0.0,0,0,"[0, 0]",9,regular,250,3,250,1,1,2000,4000,watanabe,43.82658210000045
1.7203176128976505,c=1,0.0,0,0,[0],10,regular,250,3,250,1,1,2000,4000,toru,27.19506783399993
2.420169765621228,"c=1,d=1",0.0,0,0,"[0, 0]",8,e-singular,250,3,250,1,1,2000,4000,watanabe,41.4403254989993
1.8046973685950896,c=1,0.0,0,0,[0],9,e-singular,250,3,250,1,1,2000,4000,toru,27.61930164700061
2.2064582499832763,"c=1,d=1",0.0,0,0,"[0, 0]",9,singular1,250,3,250,1,1,2000,4000,watanabe,47.77349934600079
1.6952610312027638,c=1,0.0,0,0,[0],9,singular1,250,3,250,1,1,2000,4000,toru,28.153771913000128
1.7745282547250147,"c=1,d=1",0.0,0,0,"[0, 0]",9,singular2,250,3,250,1,1,2000,4000,watanabe,43.90469311099969
1.1947870904484483,c=1,0.0,0,0,[0],9,singular2,250,3,250,1,1,2000,4000,toru,30.461270955000145
2.731318507594555,"c=1,d=1",0.0,0,0,"[0, 0]",9,regular,250,5,250,1,1,2000,4000,watanabe,78.01310665600067
1.917012617276852,c=1,0.0,0,0,[0],9,regular,250,5,250,1,1,2000,4000,toru,57.633383192999645
3.389309436747545,"c=1,d=1",0.0,0,0,"[0, 0]",9,e-singular,250,5,250,1,1,2000,4000,watanabe,62.08511339600045
2.4953099466156714,c=1,0.0,0,0,[0],9,e-singular,250,5,250,1,1,2000,4000,toru,47.59591414700026
4.561409676029243,"c=1,d=1",0.0,0,0,"[0, 0]",10,singular1,250,5,250,1,1,2000,4000,watanabe,69.2436825779996
3.1748088600100104,c=1,0.0,0,0,[0],9,singular1,250,5,250,1,1,2000,4000,toru,54.57254642499993
3.444451248879368,"c=1,d=1",0.0,0,0,"[0, 0]",9,singular2,250,5,250,1,1,2000,4000,watanabe,71.67912588200033
2.250525885654172,c=1,0.0,0,0,[0],9,singular2,250,5,250,1,1,2000,4000,toru,48.14126598300027
1.373342057060881,"c=1,d=1",0.0,0,0,"[0, 0]",5,regular,5000,2,5000,1,1,2000,4000,watanabe,97.81660329600072
