dsid,n,p0,p1,w0,fisher_mat
regular,50,0.3545616819772267,0.14672072973377037,0.21977993159270579,"[ 2.13111401e-02 -2.21128113e-03 -1.30530153e-03 -2.21128113e-03
  6.34741188e+00  6.08576403e-02 -1.30530153e-03  6.08576403e-02
  5.13891317e-02]"
regular,50,0.3925291721601745,0.14993689156624607,0.18080999249591012,"[ 7.20644307e-03 -3.47760938e-04  1.64568828e-03 -3.47760938e-04
  5.98644987e+00  1.37968239e-01  1.64568828e-03  1.37968239e-01
  4.85286036e-02]"
regular,50,0.15043799618519482,0.3616066064978479,0.6506961725722672,"[ 2.87942656e+00 -2.28969476e-03 -2.46072282e-03 -2.28969476e-03
  7.76368938e-02 -8.36551466e-05 -2.46072282e-03 -8.36551466e-05
  3.77840108e-02]"
regular,50,0.1526029311084828,0.36546191434821124,0.7594789371240325,"[ 4.05626707e+00 -2.76947640e-03 -8.30287605e-02 -2.76947640e-03
  2.20039749e-02  6.36439560e-04 -8.30287605e-02  6.36439560e-04
  4.53551842e-02]"
regular,50,0.3788774126720738,0.15434396207056955,0.1409858435107413,"[ 2.36261801e-03 -1.18410103e-03 -3.62843913e-04 -1.18410103e-03
  6.44219396e+00  1.69588871e-01 -3.62843913e-04  1.69588871e-01
  5.26396290e-02]"
regular,50,0.36361670005178043,0.15064263991720636,0.3707369809868019,"[ 8.20270568e-02 -3.38116068e-03  6.58495608e-04 -3.38116068e-03
  2.34093037e+00  4.18648862e-02  6.58495608e-04  4.18648862e-02
  3.19317957e-02]"
regular,50,0.14404468093019715,0.33596361216775383,0.6928113412801983,"[ 3.96753590e+00 -9.40594386e-03 -7.53620160e-02 -9.40594386e-03
  5.28185400e-02  1.65073168e-03 -7.53620160e-02  1.65073168e-03
  4.01684871e-02]"
regular,50,0.15007239388548432,0.35956270212634817,0.7578522532116807,"[ 4.01674129e+00 -3.06584094e-03 -3.26581226e-02 -3.06584094e-03
  2.57823926e-02 -5.99415594e-04 -3.26581226e-02 -5.99415594e-04
  4.69102306e-02]"
regular,50,0.14659067369843676,0.33784687901123694,0.8389107101065063,"[ 8.91008986e+00 -6.91008440e-03 -1.93546403e-01 -6.91008440e-03
  4.90916911e-03 -5.21971984e-04 -1.93546403e-01 -5.21971984e-04
  5.59790903e-02]"
regular,50,0.34137161334275773,0.14649596017172453,0.2355555405784204,"[ 2.25010526e-02 -5.76384816e-03 -9.04784899e-04 -5.76384816e-03
  5.62099721e+00 -1.07388991e-01 -9.04784899e-04 -1.07388991e-01
  4.42675668e-02]"
regular,50,0.15442983740813093,0.341406311426623,0.8012040670518104,"[ 5.66473084e+00 -1.19881054e-02 -3.16140598e-02 -1.19881054e-02
  1.28725068e-02 -3.04117715e-04 -3.16140598e-02 -3.04117715e-04
  4.33799171e-02]"
regular,50,0.3421107826311635,0.1514651910225633,0.27451360682328974,"[ 2.83220122e-02 -1.09396570e-02  3.64270555e-03 -1.09396570e-02
  4.42724669e+00  9.56021579e-02  3.64270555e-03  9.56021579e-02
  4.11569718e-02]"
regular,50,0.3456483571803825,0.15587491229926814,0.22092178242849655,"[ 2.05966223e-02 -9.48770742e-03  1.23613742e-04 -9.48770742e-03
  6.15080206e+00  1.28104706e-01  1.23613742e-04  1.28104706e-01
  4.59919662e-02]"
regular,50,0.14806433046768638,0.3538117429289789,0.7777096247034556,"[ 5.38348584e+00 -3.37696890e-03 -1.17976932e-01 -3.37696890e-03
  1.08850376e-02 -1.98372380e-03 -1.17976932e-01 -1.98372380e-03
  5.11674907e-02]"
