ctrial,cFE,cbeta,cm,cn,cchain_size,cname
55,16.099965712021,0.434294481903252,0,10,6000,WBIC
55,15.8458463017658,0.434294481903252,1,10,6000,naiveBIC(1)
55,15.813457522098,0.434294481903252,10,10,6000,naiveBIC(10)
56,16.2976305890125,0.434294481903252,-1,10,6000,AFE
56,15.9847024630943,0.434294481903252,0,10,6000,WBIC
56,15.8164863975542,0.434294481903252,1,10,6000,naiveBIC(1)
56,15.8632941140206,0.434294481903252,10,10,6000,naiveBIC(10)
57,16.2976301738383,0.434294481903252,-1,10,6000,AFE
57,16.0432291781103,0.434294481903252,0,10,6000,WBIC
57,15.8599038429802,0.434294481903252,1,10,6000,naiveBIC(1)
57,15.8405440488612,0.434294481903252,10,10,6000,naiveBIC(10)
58,16.2976300421409,0.434294481903252,-1,10,6000,AFE
58,16.0292993667308,0.434294481903252,0,10,6000,WBIC
58,15.8490596587938,0.434294481903252,1,10,6000,naiveBIC(1)
58,15.8355311019828,0.434294481903252,10,10,6000,naiveBIC(10)
59,16.2976235554092,0.434294481903252,-1,10,6000,AFE
59,16.0361943149225,0.434294481903252,0,10,6000,WBIC
59,15.750836386738,0.434294481903252,1,10,6000,naiveBIC(1)
59,15.8486677654803,0.434294481903252,10,10,6000,naiveBIC(10)
60,16.2976312265451,0.434294481903252,-1,10,6000,AFE
60,16.0241791497171,0.434294481903252,0,10,6000,WBIC
60,15.9048342287672,0.434294481903252,1,10,6000,naiveBIC(1)
60,15.8375851407799,0.434294481903252,10,10,6000,naiveBIC(10)
61,16.2976292685559,0.434294481903252,-1,10,6000,AFE
61,16.0349010847077,0.434294481903252,0,10,6000,WBIC
61,15.8497666517,0.434294481903252,1,10,6000,naiveBIC(1)
61,15.8249196142125,0.434294481903252,10,10,6000,naiveBIC(10)
62,16.2976287102725,0.434294481903252,-1,10,6000,AFE
62,16.0502164935581,0.434294481903252,0,10,6000,WBIC
62,15.9215119986227,0.434294481903252,1,10,6000,naiveBIC(1)
62,15.8530669371228,0.434294481903252,10,10,6000,naiveBIC(10)
63,16.2976377935978,0.434294481903252,-1,10,6000,AFE
63,16.0303894617207,0.434294481903252,0,10,6000,WBIC
63,15.8070408026431,0.434294481903252,1,10,6000,naiveBIC(1)
63,15.8244317053011,0.434294481903252,10,10,6000,naiveBIC(10)
64,16.297631624027,0.434294481903252,-1,10,6000,AFE
64,15.9528213444871,0.434294481903252,0,10,6000,WBIC
64,15.8351650564366,0.434294481903252,1,10,6000,naiveBIC(1)
64,15.8342339852574,0.434294481903252,10,10,6000,naiveBIC(10)
65,16.297630148956,0.434294481903252,-1,10,6000,AFE
65,16.042432963221,0.434294481903252,0,10,6000,WBIC
65,15.7885324025184,0.434294481903252,1,10,6000,naiveBIC(1)
65,15.830406496452,0.434294481903252,10,10,6000,naiveBIC(10)
66,16.2976301216929,0.434294481903252,-1,10,6000,AFE
66,16.0438224574533,0.434294481903252,0,10,6000,WBIC
66,15.8016476368668,0.434294481903252,1,10,6000,naiveBIC(1)
66,15.8452370023005,0.434294481903252,10,10,6000,naiveBIC(10)
67,16.2976300455465,0.434294481903252,-1,10,6000,AFE
67,15.991162228605,0.434294481903252,0,10,6000,WBIC
67,15.8961554897417,0.434294481903252,1,10,6000,naiveBIC(1)
67,15.8399854965582,0.434294481903252,10,10,6000,naiveBIC(10)
68,16.2976301477996,0.434294481903252,-1,10,6000,AFE
68,16.070297465928,0.434294481903252,0,10,6000,WBIC
68,15.8332674026304,0.434294481903252,1,10,6000,naiveBIC(1)
68,15.8635778481623,0.434294481903252,10,10,6000,naiveBIC(10)
69,16.2976292026502,0.434294481903252,-1,10,6000,AFE
69,15.9568967150225,0.434294481903252,0,10,6000,WBIC
69,15.8635058167107,0.434294481903252,1,10,6000,naiveBIC(1)
69,15.8346703622311,0.434294481903252,10,10,6000,naiveBIC(10)
70,16.2976324836522,0.434294481903252,-1,10,6000,AFE
70,16.0338455049175,0.434294481903252,0,10,6000,WBIC
70,15.9361366375597,0.434294481903252,1,10,6000,naiveBIC(1)
