trial,FE,beta,m,n,chain_size,name
5,80.9640690291843,0.255622218635331,0,50,4000,AFE
5,76.6359637932287,0.255622218635331,0,50,4000,WBIC
6,77.662395887815,0.255622218635331,0,50,4000,AFE
6,76.5695458850014,0.255622218635331,0,50,4000,WBIC
7,77.6624256388851,0.255622218635331,0,50,4000,AFE
7,76.6580305620567,0.255622218635331,0,50,4000,WBIC
8,77.6624001200012,0.255622218635331,0,50,4000,AFE
8,76.563029499678,0.255622218635331,0,50,4000,WBIC
9,77.6730291148561,0.255622218635331,0,50,4000,AFE
9,76.6177828556914,0.255622218635331,0,50,4000,WBIC
10,77.6624314892628,0.255622218635331,0,50,4000,AFE
10,76.5038883355775,0.255622218635331,0,50,4000,WBIC
11,77.6630117152848,0.255622218635331,0,50,4000,AFE
11,76.682674683734,0.255622218635331,0,50,4000,WBIC
12,77.660077468485,0.255622218635331,0,50,4000,AFE
12,76.5271789415947,0.255622218635331,0,50,4000,WBIC
13,84.2302372090954,0.255622218635331,0,50,4000,AFE
13,76.6346872550117,0.255622218635331,0,50,4000,WBIC
14,77.6624338255415,0.255622218635331,0,50,4000,AFE
14,76.6185152923517,0.255622218635331,0,50,4000,WBIC
15,77.6624808481902,0.255622218635331,0,50,4000,AFE
15,76.6135268560171,0.255622218635331,0,50,4000,WBIC
16,77.6624073764557,0.255622218635331,0,50,4000,AFE
16,76.5279814213528,0.255622218635331,0,50,4000,WBIC
17,77.6623403880425,0.255622218635331,0,50,4000,AFE
17,76.7011381433089,0.255622218635331,0,50,4000,WBIC
18,80.7739167464403,0.255622218635331,0,50,4000,AFE
18,76.6332583856199,0.255622218635331,0,50,4000,WBIC
19,77.6657623782641,0.255622218635331,0,50,4000,AFE
19,76.543852013236,0.255622218635331,0,50,4000,WBIC
20,77.673026756975,0.255622218635331,0,50,4000,AFE
20,76.7725035808619,0.255622218635331,0,50,4000,WBIC
1,83.8439303828008,0.255622218635331,0,50,6000,AFE
1,76.6463992384349,0.255622218635331,0,50,6000,WBIC
2,80.7095533219717,0.255622218635331,0,50,6000,AFE
2,76.6380859679366,0.255622218635331,0,50,6000,WBIC
3,77.6644184387591,0.255622218635331,0,50,6000,AFE
3,76.5443328372091,0.255622218635331,0,50,6000,WBIC
4,104.591571726965,0.255622218635331,0,50,6000,AFE
4,76.5657734169533,0.255622218635331,0,50,6000,WBIC
5,77.6622961839918,0.255622218635331,0,50,6000,AFE
5,76.6196672379453,0.255622218635331,0,50,6000,WBIC
6,77.6627472988286,0.255622218635331,0,50,6000,AFE
6,76.5518477151907,0.255622218635331,0,50,6000,WBIC
7,77.6624691944247,0.255622218635331,0,50,6000,AFE
7,76.6268060256252,0.255622218635331,0,50,6000,WBIC
8,77.6625705729321,0.255622218635331,0,50,6000,AFE
8,76.6168575482136,0.255622218635331,0,50,6000,WBIC
9,77.6624450138133,0.255622218635331,0,50,6000,AFE
9,76.5335070539955,0.255622218635331,0,50,6000,WBIC
10,77.6722848674389,0.255622218635331,0,50,6000,AFE
10,76.6149433655229,0.255622218635331,0,50,6000,WBIC
11,77.6708695559666,0.255622218635331,0,50,6000,AFE
11,76.5373110309898,0.255622218635331,0,50,6000,WBIC
12,77.6624773465991,0.255622218635331,0,50,6000,AFE
12,76.6619363200415,0.255622218635331,0,50,6000,WBIC
13,77.6625303293075,0.255622218635331,0,50,6000,AFE
13,76.6244352332486,0.255622218635331,0,50,6000,WBIC
14,86.0358883131111,0.255622218635331,0,50,6000,AFE
14,76.6811856266296,0.255622218635331,0,50,6000,WBIC
15,77.6726874982287,0.255622218635331,0,50,6000,AFE
15,76.6201094675849,0.255622218635331,0,50,6000,WBIC
16,77.6639972164079,0.255622218635331,0,50,6000,AFE
16,76.6556282570249,0.255622218635331,0,50,6000,WBIC
17,77.6723255563734,0.255622218635331,0,50,6000,AFE
17,76.6682749097913,0.255622218635331,0,50,6000,WBIC
18,77.6628944186948,0.255622218635331,0,50,6000,AFE
18,76.6494545763604,0.255622218635331,0,50,6000,WBIC
19,77.6624294049712,0.255622218635331,0,50,6000,AFE
19,76.6030266327861,0.255622218635331,0,50,6000,WBIC
20,79.1661102291869,0.255622218635331,0,50,6000,AFE
20,76.5687082997797,0.255622218635331,0,50,6000,WBIC
1,77.662487648627,0.255622218635331,0,50,10000,AFE
1,76.7054840799018,0.255622218635331,0,50,10000,WBIC
2,77.6610479943,0.255622218635331,0,50,10000,AFE
2,76.5611570860445,0.255622218635331,0,50,10000,WBIC
3,99.3724615118979,0.255622218635331,0,50,10000,AFE
3,76.674901430177,0.255622218635331,0,50,10000,WBIC
4,80.2319060983928,0.255622218635331,0,50,10000,AFE
4,76.7066030554023,0.255622218635331,0,50,10000,WBIC
5,77.6624358136359,0.255622218635331,0,50,10000,AFE
5,76.5680104850622,0.255622218635331,0,50,10000,WBIC
6,77.6622574175598,0.255622218635331,0,50,10000,AFE
6,76.5731763771089,0.255622218635331,0,50,10000,WBIC
7,77.6624076946815,0.255622218635331,0,50,10000,AFE
7,76.6509757996661,0.255622218635331,0,50,10000,WBIC
8,77.6624990288056,0.255622218635331,0,50,10000,AFE
8,76.5849135350125,0.255622218635331,0,50,10000,WBIC
9,77.6676300358338,0.255622218635331,0,50,10000,AFE
9,76.6229772980982,0.255622218635331,0,50,10000,WBIC
10,77.6623943651261,0.255622218635331,0,50,10000,AFE
10,76.6228980197991,0.255622218635331,0,50,10000,WBIC
11,87.5304682780691,0.255622218635331,0,50,10000,AFE
11,76.5848297358457,0.255622218635331,0,50,10000,WBIC
12,77.6730714041178,0.255622218635331,0,50,10000,AFE
12,76.6222557453091,0.255622218635331,0,50,10000,WBIC
13,77.6624284734683,0.255622218635331,0,50,10000,AFE
13,76.5363414302476,0.255622218635331,0,50,10000,WBIC
14,77.6624498369105,0.255622218635331,0,50,10000,AFE
14,76.6305748883768,0.255622218635331,0,50,10000,WBIC
15,80.0442647849624,0.255622218635331,0,50,10000,AFE
15,76.6334545172413,0.255622218635331,0,50,10000,WBIC
16,77.6623450697986,0.255622218635331,0,50,10000,AFE
16,76.666487041433,0.255622218635331,0,50,10000,WBIC
17,77.6623388641068,0.255622218635331,0,50,10000,AFE
17,76.6005621130443,0.255622218635331,0,50,10000,WBIC
18,77.6624371480041,0.255622218635331,0,50,10000,AFE
