ctrial,cFE,cbeta,cm,cn,cchain_size,cname
53,15.2685341062713,0.434294481903252,1,10,6000,naiveBIC(1)
53,15.2388401185145,0.434294481903252,10,10,6000,naiveBIC(10)
54,18.2624706375016,0.434294481903252,-1,10,6000,AFE
54,15.5448861049614,0.434294481903252,0,10,6000,WBIC
54,15.5122411242348,0.434294481903252,1,10,6000,naiveBIC(1)
54,15.2376873477116,0.434294481903252,10,10,6000,naiveBIC(10)
55,16.3053062127485,0.434294481903252,-1,10,6000,AFE
55,15.5836788439036,0.434294481903252,0,10,6000,WBIC
55,19.0702475959684,0.434294481903252,1,10,6000,naiveBIC(1)
55,16.0566464247035,0.434294481903252,10,10,6000,naiveBIC(10)
56,16.3039111976647,0.434294481903252,-1,10,6000,AFE
56,15.5037211575826,0.434294481903252,0,10,6000,WBIC
56,15.2494613910263,0.434294481903252,1,10,6000,naiveBIC(1)
56,15.230919765098,0.434294481903252,10,10,6000,naiveBIC(10)
57,16.3031272831385,0.434294481903252,-1,10,6000,AFE
57,15.538702822539,0.434294481903252,0,10,6000,WBIC
57,15.3250343742261,0.434294481903252,1,10,6000,naiveBIC(1)
57,15.2312720332408,0.434294481903252,10,10,6000,naiveBIC(10)
58,16.3054415294307,0.434294481903252,-1,10,6000,AFE
58,15.5364704831076,0.434294481903252,0,10,6000,WBIC
58,15.3211312234835,0.434294481903252,1,10,6000,naiveBIC(1)
58,15.2520432145575,0.434294481903252,10,10,6000,naiveBIC(10)
59,16.9383672175143,0.434294481903252,-1,10,6000,AFE
59,15.595299982,0.434294481903252,0,10,6000,WBIC
59,15.1842898153079,0.434294481903252,1,10,6000,naiveBIC(1)
59,15.3108978961193,0.434294481903252,10,10,6000,naiveBIC(10)
60,17.3191756404335,0.434294481903252,-1,10,6000,AFE
60,15.5611027396865,0.434294481903252,0,10,6000,WBIC
60,16.684025950974,0.434294481903252,1,10,6000,naiveBIC(1)
60,15.2464507501524,0.434294481903252,10,10,6000,naiveBIC(10)
61,16.3064448983384,0.434294481903252,-1,10,6000,AFE
61,15.572237398923,0.434294481903252,0,10,6000,WBIC
61,15.3734831074052,0.434294481903252,1,10,6000,naiveBIC(1)
61,15.2472133217523,0.434294481903252,10,10,6000,naiveBIC(10)
62,16.3006320315763,0.434294481903252,-1,10,6000,AFE
62,15.5297280806568,0.434294481903252,0,10,6000,WBIC
62,15.2501520173529,0.434294481903252,1,10,6000,naiveBIC(1)
62,15.3863747085044,0.434294481903252,10,10,6000,naiveBIC(10)
63,16.2993132891444,0.434294481903252,-1,10,6000,AFE
63,15.5317877401852,0.434294481903252,0,10,6000,WBIC
63,15.31841533565,0.434294481903252,1,10,6000,naiveBIC(1)
63,15.272751718955,0.434294481903252,10,10,6000,naiveBIC(10)
64,17.8215129596762,0.434294481903252,-1,10,6000,AFE
64,15.5533631069643,0.434294481903252,0,10,6000,WBIC
64,15.2628010264041,0.434294481903252,1,10,6000,naiveBIC(1)
64,15.2501033696445,0.434294481903252,10,10,6000,naiveBIC(10)
65,16.3049745688028,0.434294481903252,-1,10,6000,AFE
65,15.547219705858,0.434294481903252,0,10,6000,WBIC
65,15.1977495234739,0.434294481903252,1,10,6000,naiveBIC(1)
65,15.2382483945307,0.434294481903252,10,10,6000,naiveBIC(10)
66,16.3014009881202,0.434294481903252,-1,10,6000,AFE
66,15.560627918762,0.434294481903252,0,10,6000,WBIC
66,15.2398857322343,0.434294481903252,1,10,6000,naiveBIC(1)
66,15.2291137951938,0.434294481903252,10,10,6000,naiveBIC(10)
67,16.302226742548,0.434294481903252,-1,10,6000,AFE
67,15.5323199072138,0.434294481903252,0,10,6000,WBIC
67,16.0161142206082,0.434294481903252,1,10,6000,naiveBIC(1)
67,15.3494778663716,0.434294481903252,10,10,6000,naiveBIC(10)
68,16.3053397120275,0.434294481903252,-1,10,6000,AFE
68,15.5128957667065,0.434294481903252,0,10,6000,WBIC
68,15.2346110136479,0.434294481903252,1,10,6000,naiveBIC(1)
68,15.3247626409886,0.434294481903252,10,10,6000,naiveBIC(10)
69,16.3078019966452,0.434294481903252,-1,10,6000,AFE
69,15.5416892991794,0.434294481903252,0,10,6000,WBIC
69,15.2730552515536,0.434294481903252,1,10,6000,naiveBIC(1)
69,15.8517996986814,0.434294481903252,10,10,6000,naiveBIC(10)
70,16.302940808629,0.434294481903252,-1,10,6000,AFE
70,15.5537049350563,0.434294481903252,0,10,6000,WBIC
70,15.2779605571624,0.434294481903252,1,10,6000,naiveBIC(1)
70,15.2361393779604,0.434294481903252,10,10,6000,naiveBIC(10)
71,16.5729398875124,0.434294481903252,-1,10,6000,AFE
71,15.5076638139434,0.434294481903252,0,10,6000,WBIC
71,15.1989135220277,0.434294481903252,1,10,6000,naiveBIC(1)
71,15.2419548870663,0.434294481903252,10,10,6000,naiveBIC(10)
72,16.3030512202161,0.434294481903252,-1,10,6000,AFE
72,15.5581770670315,0.434294481903252,0,10,6000,WBIC
72,15.2932172060368,0.434294481903252,1,10,6000,naiveBIC(1)
72,15.2514324797978,0.434294481903252,10,10,6000,naiveBIC(10)
73,16.3054241003491,0.434294481903252,-1,10,6000,AFE
73,15.4991919339783,0.434294481903252,0,10,6000,WBIC
73,15.2479011804551,0.434294481903252,1,10,6000,naiveBIC(1)
73,15.2095296818859,0.434294481903252,10,10,6000,naiveBIC(10)
74,16.3002426783316,0.434294481903252,-1,10,6000,AFE
74,15.5517462094517,0.434294481903252,0,10,6000,WBIC
74,15.2537367739051,0.434294481903252,1,10,6000,naiveBIC(1)
74,15.2594820970203,0.434294481903252,10,10,6000,naiveBIC(10)
