trial,RLCT,beta,c,n,chain_size
2,0.750395781229887,0.471847914544387,2.5,200,4000
2,0.655663811334232,0.438305635095365,2.5,300,4000
2,0.786909120898417,0.417260250869168,2.5,400,4000
2,0.707320770185339,0.390812488919816,2.5,600,4000
2,0.645037909749392,0.381616446775482,2.5,700,4000
2,0.741645618814782,0.36191206825271,2.5,1000,4000
2,0.674453256715237,2.17147240951626,5,10,4000
2,0.85266976344571,1.27811109317666,5,50,4000
2,0.980008838977214,1.08573620475813,5,100,4000
2,0.834013245964298,0.997877455956775,5,150,4000
2,0.698760483983237,0.943695829088774,5,200,4000
2,0.806288861376931,0.834520501738335,5,400,4000
2,0.759426474230423,0.876611270190731,5,300,4000
2,0.702344890627147,0.804555962470013,5,500,4000
2,0.822104267531303,0.781624977839631,5,600,4000
2,0.661956992117931,0.763232893550965,5,700,4000
2,0.697426531754749,0.747986600224627,5,800,4000
2,0.902911030225542,0.735035259488015,5,900,4000
2,0.724956191213423,0.72382413650542,5,1000,4000
2,1.04914820051021,2.55622218635331,10,50,4000
2,1.5123502156085,2.17147240951626,10,100,4000
3,0.366386952149633,0.217147240951626,0.5,10,4000
3,0.720320023604652,0.127811109317666,0.5,50,4000
3,0.586578321414293,0.108573620475813,0.5,100,4000
3,0.700204829965264,0.0997877455956775,0.5,150,4000
3,0.636534525918456,0.0943695829088774,0.5,200,4000
3,0.788139433743161,0.0905557437493528,0.5,250,4000
3,0.684050609263062,0.0804555962470012,0.5,500,4000
3,0.750696693410228,0.0834520501738335,0.5,400,4000
3,0.694099408054041,0.0763232893550965,0.5,700,4000
3,0.738255021759228,0.0735035259488015,0.5,900,4000
3,0.785920545129626,0.072382413650542,0.5,1000,4000
3,0.799638297992249,0.0747986600224627,0.5,800,4000
3,0.496345273080741,0.325720861427439,0.75,10,4000
3,0.851071443691178,0.191716663976499,0.75,50,4000
3,0.795811500055778,0.149681618393516,0.75,150,4000
3,0.675556952983305,0.141554374363316,0.75,200,4000
3,0.784406128112545,0.135833615624029,0.75,250,4000
3,0.655244168098125,0.13149169052861,0.75,300,4000
